# time (s),altitude (m),absolute velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),freestream velocity (m/s),angle of attack (rads),Mach,dynamic pressure (Pa),air pressure (Pa),air density (kg/m^3),air temperature (K)
8.750000000000004441e-01,1.010991665162146091e+01,1.734728019149022771e+01,1.996746190062464876e+01,8.095715514142530992e+03,2.710332719563472210e+02,1.706290545838467665e+01,1.006631399789927883e-01,5.035668917344039014e-02,1.543034243629110733e+02,8.692257830394672055e+04,1.059910015912527648e+00,2.856892829696184322e+02
9.000000000000004663e-01,1.054984059277921915e+01,1.784666871692129320e+01,1.997554098161973002e+01,8.095754057696893142e+03,2.709493722397479587e+02,1.755993888685157245e+01,9.782522450499603339e-02,5.182374499398673812e-02,1.634160332800139486e+02,8.691807969023074838e+04,1.059863016296623606e+00,2.856871655647510124e+02
9.250000000000004885e-01,1.100225176475942135e+01,1.834625861220069254e+01,1.998359577348718119e+01,8.095793709041812690e+03,2.708654725231486964e+02,1.805730726271720243e+01,9.514309787667768470e-02,5.329180591197232170e-02,1.727958419404276640e+02,8.691345178066070366e+04,1.059814666341481582e+00,2.856849869751336541e+02
9.500000000000005107e-01,1.146715519577264786e+01,1.884604926911407219e+01,1.999162623672168948e+01,8.095834468472258777e+03,2.707815728065494341e+02,1.855499930559890132e+01,9.260436098460167464e-02,5.476083912339791554e-02,1.824430855766075013e+02,8.690869454080871947e+04,1.059764965728889674e+00,2.856827471566750205e+02
9.750000000000005329e-01,1.194455589633435011e+01,1.934604007858295915e+01,1.999963233675796204e+01,8.095876336277754490e+03,2.706976730899501717e+02,1.905300483331661709e+01,9.019788307753266732e-02,5.623081506600008384e-02,1.923579960115660867e+02,8.690380793688308040e+04,1.059713914148440406e+00,2.856804460647924202e+02
1.000000000000000444e+00,1.243445886299014091e+01,1.984623043075193038e+01,2.000761404251805686e+01,8.095919312742230431e+03,2.706137733733509094e+02,1.955131463262836533e+01,8.791365985802135352e-02,5.770170703779167742e-02,2.025408018383045317e+02,8.689879193574497185e+04,1.059661511297703695e+00,2.856780836544189128e+02
1.025000000000000355e+00,1.293686907645314932e+01,2.034661971506739775e+01,2.001557132607556611e+01,8.095963398143611812e+03,2.705298736567516471e+02,2.004992033669833873e+01,8.574266794672630310e-02,5.917349083546646904e-02,2.129917283395929246e+02,8.689364650495642854e+04,1.059607756882727125e+00,2.856756598800253073e+02
1.050000000000000266e+00,1.345179150160402060e+01,2.084720732034192281e+01,2.002350416207575989e+01,8.096008592754337769e+03,2.704459739401523848e+02,2.054881432372443228e+01,8.367674858640061775e-02,6.064614445525218916e-02,2.237109974875248781e+02,8.688837161271959485e+04,1.059552650617400671e+00,2.856731746955912854e+02
1.075000000000000178e+00,1.397923109028488398e+01,2.134799263481252041e+01,2.003141252749753676e+01,8.096054896840999390e+03,2.703620742235531225e+02,2.104798963530556222e+01,8.170850103174610857e-02,6.211964785201331413e-02,2.346988280600949963e+02,8.688296722791915818e+04,1.059496192223899458e+00,2.856706280546245011e+02
1.100000000000000089e+00,1.451919277571141720e+01,2.184897504617566000e+01,2.003929640071831741e+01,8.096102310664752622e+03,2.702781745069538601e+02,2.154743987979405873e+01,7.983121082994415474e-02,6.359398265404121731e-02,2.459554351677712987e+02,8.687743332007422578e+04,1.059438381432179055e+00,2.856680199101378435e+02
1.125000000000000000e+00,1.507168147899210453e+01,2.235015394162763158e+01,2.004715576173119729e+01,8.096150834480599769e+03,2.701942747903545978e+02,2.204715920375275573e+01,7.803875808158212968e-02,6.506913207883414929e-02,2.574810310598165870e+02,8.687176985942256579e+04,1.059379217980856547e+00,2.856653502146875212e+02
1.149999999999999911e+00,1.563670210540294647e+01,2.285152870789366730e+01,2.005499059169410003e+01,8.096200468538309906e+03,2.701103750737553355e+02,2.254714219769654449e+01,7.632555937165090565e-02,6.654508065493609792e-02,2.692758242799081358e+02,8.686597681681207905e+04,1.059318701616071889e+00,2.856626189203235526e+02
1.174999999999999822e+00,1.621425954159349203e+01,2.335309873124665359e+01,2.006280087251259658e+01,8.096251213081693095e+03,2.700264753571560732e+02,2.304738387545116396e+01,7.468651223034247777e-02,6.802181416103345035e-02,2.813400203141366092e+02,8.686005416378637892e+04,1.059256832092384526e+00,2.856598259786272820e+02
1.199999999999999734e+00,1.680435866303741932e+01,2.385486339753112972e+01,2.007058658705240717e+01,8.096303068348570378e+03,2.699425756405568109e+02,2.354787960860801022e+01,7.311693812840956708e-02,6.949931943252582456e-02,2.936738210645822278e+02,8.685400187258837104e+04,1.059193609172807804e+00,2.856569713407142785e+02
1.224999999999999645e+00,1.740700432844460011e+01,2.435682209217071659e+01,2.007834771847788602e+01,8.096356034571647797e+03,2.698586759239575485e+02,2.404862510287427924e+01,7.161254792818248782e-02,7.097758429175025918e-02,3.062774251740210616e+02,8.684781991605766234e+04,1.059129032627735834e+00,2.856540549571844849e+02
1.249999999999999556e+00,1.802220137976109982e+01,2.485897420018325832e+01,2.008608425055716395e+01,8.096410111977268571e+03,2.697747762073582862e+02,2.454961636458039109e+01,7.016939408225560115e-02,7.245659744914037526e-02,3.191510280322508493e+02,8.684150826777654584e+04,1.059063102236465825e+00,2.856510767781917934e+02
1.274999999999999467e+00,1.864995464496314526e+01,2.536131910618960461e+01,2.009379616741016505e+01,8.096465300786408079e+03,2.696908764907590239e+02,2.505084966466334961e+01,6.878383985003436174e-02,7.393634839694936123e-02,3.322948215960050220e+02,8.683506690195405099e+04,1.058995817785989502e+00,2.856480367533877143e+02
1.299999999999999378e+00,1.929026893619447947e+01,2.586385619440891404e+01,2.010148345296964223e+01,8.096521601214149086e+03,2.696069767741597616e+02,2.555232151876282742e+01,6.745253732860874429e-02,7.541682735051699615e-02,3.457089945441484815e+02,8.682849579348663974e+04,1.058927179071620372e+00,2.856449348319503088e+02
1.324999999999999289e+00,1.994314905069768429e+01,2.636658484867491126e+01,2.010914609181821433e+01,8.096579013469840902e+03,2.695230770575604993e+02,2.605402865101284604e+01,6.617238379769202483e-02,7.689802514141834411e-02,3.593937319177206859e+02,8.682179491793987108e+04,1.058857185896804554e+00,2.856417709625753787e+02
1.349999999999999201e+00,2.060859976988285780e+01,2.686950445243027019e+01,2.011678406831322619e+01,8.096637537757157588e+03,2.694391773409612370e+02,2.655596799820812137e+01,6.494051174297522933e-02,7.837993322977505894e-02,3.733492157736741319e+02,8.681496425154247845e+04,1.058785838073054375e+00,2.856385450934726009e+02
1.374999999999999112e+00,2.128664135467261076e+01,2.737384858179950342e+01,2.017376508951157632e+01,8.096697174734265900e+03,2.693552776243619746e+02,2.705892564733051131e+01,6.319980515519176001e-02,7.986487227243756204e-02,3.875982976036398213e+02,8.680800371747578902e+04,1.058713134858914939e+00,2.856352571469984696e+02
1.399999999999999023e+00,2.197729327157139778e+01,2.787832375183794653e+01,2.017900671199801010e+01,8.096757926396876428e+03,2.692713779077627123e+02,2.756298247408603785e+01,5.912225559196218616e-02,8.135308153083224691e-02,4.021447108095690055e+02,8.680091308281087549e+04,1.058639073883420822e+00,2.856319069709567771e+02
1.424999999999998934e+00,2.268055843468755484e+01,2.838290599384763269e+01,2.018328958581883370e+01,8.096819793270162336e+03,2.691874781911634500e+02,2.806743274733106830e+01,5.453206799358478046e-02,8.284247855975669650e-02,4.169691940130173293e+02,8.679369228625185497e+04,1.058563654569527168e+00,2.856284944933797760e+02
1.449999999999998845e+00,2.339643934834748507e+01,2.888758149191195912e+01,2.018701982209292467e+01,8.096882775350367410e+03,2.691035784745641877e+02,2.857226610722429072e+01,5.004516179033343531e-02,8.433303329669199211e-02,4.320719447788715115e+02,8.678634132823713298e+04,1.058486876986125091e+00,2.856250196706656084e+02
1.474999999999998757e+00,2.412493816670030355e+01,2.939233603736864353e+01,2.019018171091466840e+01,8.096946872598601658e+03,2.690196787579649254e+02,2.907746455474751812e+01,4.565721201307960248e-02,8.582469313182132520e-02,4.474529039401989507e+02,8.677886021330575750e+04,1.058408741246052776e+00,2.856214824603581519e+02
1.499999999999998668e+00,2.486605668719857931e+01,2.989715504260087187e+01,2.019276009401935212e+01,8.097012084940168279e+03,2.689357790413656630e+02,2.958301095456043583e+01,4.136461807192302886e-02,8.731740800427546800e-02,4.631119991566501994e+02,8.677124895017595554e+04,1.058329247506914372e+00,2.856178828211847076e+02
1.524999999999998579e+00,2.561979633197188377e+01,3.040202355882448515e+01,2.019474052461644575e+01,8.097078412263567770e+03,2.688518793247664007e+02,3.008888896217119679e+01,3.716458085954759544e-02,8.881113018716822738e-02,4.790491448458791979e+02,8.676350755186146125e+04,1.058248395972285039e+00,2.856142207131148893e+02
1.549999999999998490e+00,2.638615815062075853e+01,3.090692629805531411e+01,2.019610943460163810e+01,8.097145854420025898e+03,2.687679796081671384e+02,3.059508298224000100e+01,3.305521350754793419e-02,9.030581416452547472e-02,4.952642429012369121e+02,8.675563603572658030e+04,1.058166186892283145e+00,2.856104960973883067e+02
1.574999999999998401e+00,2.716514280252158642e+01,3.141184765963101455e+01,2.019685431673210374e+01,8.097214411222342278e+03,2.686840798915678761e+02,3.110157806460814456e+01,2.903580868881671176e-02,9.180141632439227373e-02,5.117571812266767779e+02,8.674763442362030037e+04,1.058082620564962051e+00,2.856067089365806737e+02
1.599999999999998312e+00,2.795675055589526892e+01,3.191677176136941441e+01,2.019696391008904612e+01,8.097284082444522028e+03,2.686001801749686138e+02,3.160835992325568000e+01,2.510730003361951249e-02,9.329789501478395752e-02,5.285278360628702785e+02,8.673950274191959761e+04,1.057997697336756637e+00,2.856028591946281381e+02
1.624999999999998224e+00,2.876098127849400043e+01,3.242168247572050177e+01,2.019642839982459748e+01,8.097354867820751679e+03,2.685162804583693514e+02,3.211541482795529134e+01,2.127327472955687152e-02,9.479521022387292495e-02,5.455760700480896048e+02,8.673124102164879150e+04,1.057911417603721649e+00,2.855989468368858866e+02
1.649999999999998135e+00,2.957783443294465542e+01,3.292656347096878733e+01,2.019523961917196786e+01,8.097426767045736597e+03,2.684323807417700891e+02,3.262272963811844306e+01,1.754215802643578972e-02,9.629332367988946428e-02,5.629017348456073933e+02,8.672284929844061844e+04,1.057823781811119135e+00,2.855949718301135363e+02
1.674999999999998046e+00,3.040730906743556261e+01,3.343139825766192530e+01,2.019339125849938554e+01,8.097499779773148475e+03,2.683484810251708268e+02,3.313029175647195501e+01,1.393269125480918295e-02,9.779219871437123957e-02,5.805046710731724033e+02,8.671432761271664640e+04,1.057734790455293394e+00,2.855909341425638104e+02
1.699999999999997957e+00,3.124940382130444050e+01,3.393617024026531226e+01,2.019087907435107354e+01,8.097573905616262891e+03,2.682645813085715645e+02,3.363808908390507213e+01,1.048980618241204636e-02,9.929180012888488838e-02,5.983847081347076937e+02,8.670567600961368589e+04,1.057644444082893598e+00,2.855868337439519564e+02
1.724999999999997868e+00,3.210411691665649414e+01,3.444086277291237508e+01,2.018770105326990461e+01,8.097649144147019797e+03,2.681806815919723022e+02,3.414611005915787700e+01,7.340486759403495182e-03,1.007920943121625307e-01,6.165416669629835269e+02,8.669689453909242002e+04,1.057552743292004438e+00,2.855826706055093496e+02
1.749999999999997780e+00,3.297144615929573774e+01,3.494545921086250928e+01,2.018385724010551030e+01,8.097725494896447344e+03,2.680967818753730398e+02,3.465434359349556104e+01,4.916608904882467830e-03,1.022930490472770543e-01,6.349753590573465090e+02,8.668798325588915031e+04,1.057459688731627656e+00,2.855784446999666670e+02
1.774999999999997691e+00,3.385138893872499466e+01,3.544994290530351577e+01,2.017934747179721455e+01,8.097802957354592763e+03,2.680128821587737775e+02,3.516277914462907717e+01,4.342547657307870013e-03,1.037946337298383398e-01,6.536855904821801460e+02,8.667894221952320368e+04,1.057365281101754872e+00,2.855741560015598566e+02
1.799999999999997602e+00,3.474394222628325224e+01,3.595429712745213635e+01,2.017416854929292569e+01,8.097881530969990308e+03,2.679289824421745152e+02,3.567140663544150669e+01,6.001382123798168315e-03,1.052968191280859306e-01,6.726721602560934343e+02,8.666977149435850151e+04,1.057269521153997527e+00,2.855698044860648110e+02
1.824999999999997513e+00,3.564910257607698441e+01,3.645850517810682589e+01,2.016832165564176904e+01,8.097961215150372482e+03,2.678450827255752529e+02,3.618021652158493140e+01,8.654202956059840399e-03,1.067995775824329141e-01,6.919348641772966175e+02,8.666047114952195261e+04,1.057172409690730674e+00,2.855653901307616138e+02
1.849999999999997424e+00,3.656686612870544195e+01,3.696255056233974301e+01,2.016181496156176678e+01,8.098042009262116153e+03,2.677611830089759906e+02,3.668919975890923268e+01,1.157207723614312074e-02,1.083028829093223844e-01,7.114734949790007477e+02,8.665104125896697224e+04,1.057073947565740246e+00,2.855609129144709186e+02
1.874999999999997335e+00,3.749722861312329769e+01,3.746641708543781846e+01,2.015466047540332539e+01,8.098123912631034727e+03,2.676772832923767282e+02,3.719834781005888402e+01,1.454065615215063660e-02,1.098067104207169770e-01,7.312878439270201625e+02,8.664148190138120844e+04,1.056974135683255600e+00,2.855563728175132496e+02
1.899999999999997247e+00,3.844018536061048508e+01,3.797008892666237756e+01,2.014687315589543104e+01,8.098206924543056630e+03,2.675933835757774659e+02,3.770765267803415810e+01,1.748940245305555252e-02,1.113110370231882723e-01,7.513777035127991439e+02,8.663179316010727780e+04,1.056872974997108861e+00,2.855517698216769986e+02
1.924999999999997158e+00,3.939573130942881107e+01,3.847355071071712729e+01,2.013847082047412229e+01,8.098291044244845580e+03,2.675094838591782036e+02,3.821710692947342380e+01,2.038906674400723165e-02,1.128158412866701599e-01,7.717428698375839531e+02,8.662197512307112629e+04,1.056770466509976414e+00,2.855471039101889232e+02
1.949999999999997069e+00,4.036386102158576250e+01,3.897678757949719142e+01,2.012947415653067296e+01,8.098376270945101169e+03,2.674255841425789413e+02,3.872670367860148843e+01,2.322500773582828262e-02,1.143211033971131690e-01,7.923831434644756655e+02,8.661202788262965623e+04,1.056666611271781520e+00,2.855423750676460486e+02
1.974999999999996980e+00,4.134456869494169950e+01,3.947978526414306799e+01,2.011990673360753590e+01,8.098462603815484727e+03,2.673416844259796790e+02,3.923643663666596382e+01,2.598870736728422712e-02,1.158268053024574390e-01,8.132983329356435434e+02,8.660195153546212532e+04,1.056561410378546340e+00,2.855375832799697946e+02
1.999999999999996891e+00,4.233784817717969418e+01,3.998253015735600968e+01,2.010979501385394741e+01,8.098550041992221850e+03,2.672577847093804166e+02,3.974630010058206864e+01,2.867454630941146387e-02,1.173329306791647680e-01,8.344882558947693951e+02,8.659174618238386756e+04,1.056454864970437724e+00,2.855327285343221320e+02
