# time (s),altitude (m),absolute velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),freestream velocity (m/s),angle of attack (rads),Mach,dynamic pressure (Pa),air pressure (Pa),air density (kg/m^3),air temperature (K)
1.299999999999999378e+00,2.395014402829110622e+01,3.304444186827424090e+01,2.573502381470588318e+01,9.949821410134431062e+03,2.790476687666765088e+02,3.265471668852481457e+01,4.227736858648595275e-02,9.638308584873832296e-02,5.643375805682920827e+02,8.678113775555527536e+04,1.058432528683081131e+00,2.856225594064085840e+02
1.324999999999999289e+00,2.478429860062897205e+01,3.368794346064004941e+01,2.574006355461098394e+01,9.949935455098775492e+03,2.789466670657803320e+02,3.329875426234146119e+01,3.784789145989701092e-02,9.828471205215333351e-02,5.867673103096918794e+02,8.677258061020688911e+04,1.058343155584337891e+00,2.856185126649363610e+02
1.349999999999999201e+00,2.563454209733754396e+01,3.433155256501808594e+01,2.574436402419144088e+01,9.950051710990885113e+03,2.788456653648841552e+02,3.394321372565588746e+01,3.351754915938140456e-02,1.001876244278864098e-01,6.096463469220212801e+02,8.676385757213052420e+04,1.058252051590227616e+00,2.856143863004103309e+02
1.374999999999999112e+00,2.650087696686387062e+01,3.497525020495201886e+01,2.574790543391569742e+01,9.950170177604402852e+03,2.787446636639879785e+02,3.458807496205603371e+01,2.928445725648851430e-02,1.020917644343656422e-01,6.329745876768633934e+02,8.675496865680975316e+04,1.058159216961288562e+00,2.856101802526672486e+02
1.399999999999999023e+00,2.738330518268048763e+01,3.561901695389189371e+01,2.575066977988246109e+01,9.950290854656019292e+03,2.786436619630918017e+02,3.523331875735794227e+01,2.514847562051940669e-02,1.039970761929846638e-01,6.567519046635196673e+02,8.674591388550239208e+04,1.058064652020157537e+00,2.856058944629936605e+02
1.424999999999998934e+00,2.828182822465896606e+01,3.626283298848579051e+01,2.575264118984594930e+01,9.950413741785143429e+03,2.785426602621956249e+02,3.587892664811338506e+01,2.111216338330552597e-02,1.059035060409386636e-01,6.809781420493235373e+02,8.673669328526436584e+04,1.057968357151808592e+00,2.856015288741418203e+02
1.449999999999998845e+00,2.919644707534462214e+01,3.690667815091586590e+01,2.575380628498321656e+01,9.950538838551223307e+03,2.784416585612994481e+02,3.652488092109681617e+01,1.718298643906099321e-02,1.078110025296769581e-01,7.056531185801003403e+02,8.672730688915206701e+04,1.057870332805655789e+00,2.855970834304295636e+02
1.474999999999998757e+00,3.012716220598667860e+01,3.755053202057617057e+01,2.575415455356868577e+01,9.950666144434037051e+03,2.783406568604032714e+02,3.717116457685013842e+01,1.337917698256728405e-02,1.097195163172860893e-01,7.307766286480591589e+02,8.671775473619875265e+04,1.057770579495292518e+00,2.855925580777338268e+02
1.499999999999998668e+00,3.107397357746958733e+01,3.819437399528464283e+01,2.575367873234496940e+01,9.950795658831353649e+03,2.782396551595070946e+02,3.781776127325900205e+01,9.748513075796499602e-03,1.116290000019116296e-01,7.563484424416242291e+02,8.670803687159233959e+04,1.057669097800339797e+00,2.855879527635793806e+02
1.524999999999998579e+00,3.203688063379377127e+01,3.883818338076847709e+01,2.575237513745110718e+01,9.950927381059444087e+03,2.781386534586109178e+02,3.846465534021066901e+01,6.445924957681967160e-03,1.135394081650124981e-01,7.823683087467848054e+02,8.669815334663460089e+04,1.057565888366003293e+00,2.855832674371256985e+02
