# time (s),altitude (m),velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),Mach,air density (kg/m^3)
6.750000000000000000e+00,1.842776013824355005e+03,1.327046333713066133e+02,2.031990854782821643e+01,6.348531477521479246e+03,2.031174244862387752e+02,3.829054718233201871e-01,1.027459382723664438e+00
7.000000000000000000e+00,1.876587673217543170e+03,1.377921959948009771e+02,2.035025049397747310e+01,6.353613499710964788e+03,2.024613037748592888e+02,3.982988551502327779e-01,1.024122255104652712e+00
7.250000000000000000e+00,1.911672120168304218e+03,1.428867260670230337e+02,2.037812028888821914e+01,6.358884913925478031e+03,2.018051830634798307e+02,4.137330310949764445e-01,1.020663578302706709e+00
7.500000000000000000e+00,1.948030960776962729e+03,1.479870587237286088e+02,2.040133062682233955e+01,6.364344072769609738e+03,2.011490623521003727e+02,4.292069078636299717e-01,1.017084159334067150e+00
7.750000000000000000e+00,1.985665553128621468e+03,1.530925142888778794e+02,2.042182226059705386e+01,6.369989235268247285e+03,2.004929416407208862e+02,4.447177538372844574e-01,1.013384864074347247e+00
8.000000000000000000e+00,2.024577085541076485e+03,1.582024165908461839e+02,2.043960920787320745e+01,6.375818553460518160e+03,1.998368209293413997e+02,4.602642961981311953e-01,1.009566619333335247e+00
8.250000000000000000e+00,2.064766593376193669e+03,1.633161571241209344e+02,2.045496213309897726e+01,6.381830069687874129e+03,1.991807002179619417e+02,4.758452753255531520e-01,1.005630404367458874e+00
8.500000000000000000e+00,2.106234960766655149e+03,1.684331348733215634e+02,2.046791099680255499e+01,6.388021730541137913e+03,1.985245795065824836e+02,4.914596377260413984e-01,1.001577248677064658e+00
8.750000000000000000e+00,2.148982922620380577e+03,1.735527547005017936e+02,2.047847930872096356e+01,6.394391390895259974e+03,1.978684587952029972e+02,5.071063551137150460e-01,9.974082313135929079e-01
9.000000000000000000e+00,2.193011015020238574e+03,1.786738217808249658e+02,2.048426832129264596e+01,6.400936815584173019e+03,1.972123380838235107e+02,5.227844193991263433e-01,9.931244801284792034e-01
9.250000000000000000e+00,2.238319470160824494e+03,1.837952831203552648e+02,2.048584535812114993e+01,6.407655681188840390e+03,1.965562173724440527e+02,5.384910171377966792e-01,9.887271761380707069e-01
9.500000000000000000e+00,2.284908254331229273e+03,1.889162638556308877e+02,2.048392294110249523e+01,6.414545569834217531e+03,1.959000966610645946e+02,5.542237597232479995e-01,9.842175632629148740e-01
9.750000000000000000e+00,2.332777161399311808e+03,1.940360794134500964e+02,2.047926223127684864e+01,6.421603954650561718e+03,1.952439759496851082e+02,5.699807936869432101e-01,9.795969436414132536e-01
1.000000000000000000e+01,2.381925815484315990e+03,1.991540566214933961e+02,2.047190883217321655e+01,6.428828207908453805e+03,1.945878552383056217e+02,5.857608390266374476e-01,9.748666675001209647e-01
1.025000000000000000e+01,2.432353673932106176e+03,2.042695349153771360e+02,2.046191317553501321e+01,6.436215617638146796e+03,1.939317345269261637e+02,6.015626501680297888e-01,9.700281321108498167e-01
1.050000000000000000e+01,2.484060030643032860e+03,2.093818444196331541e+02,2.044923801702406152e+01,6.443763390006439295e+03,1.932756138155467056e+02,6.173850194458406770e-01,9.650827806908726103e-01
1.075000000000000000e+01,2.537043921441633302e+03,2.144893071584188533e+02,2.042985095514279692e+01,6.451468651798222709e+03,1.926194931041672191e+02,6.332267106713672655e-01,9.600321012432831980e-01
1.100000000000000000e+01,2.591303971455929968e+03,2.195906186910981432e+02,2.040524613071714555e+01,6.459328453005629854e+03,1.919633723927877327e+02,6.490834355139701861e-01,9.548776348840058992e-01
1.125000000000000000e+01,2.646838477132490880e+03,2.246847377236002501e+02,2.037647613000847358e+01,6.467339754694792646e+03,1.913072516814082746e+02,6.649520258031905717e-01,9.496209895123320921e-01
1.150000000000000000e+01,2.703645546581706185e+03,2.297709203019608140e+02,2.034473031344224125e+01,6.475499408709925774e+03,1.906511309700288166e+02,6.808301024207038532e-01,9.442638304722568154e-01
1.175000000000000000e+01,2.761723104454435997e+03,2.348484428350593305e+02,2.031009013239405192e+01,6.483804173223898033e+03,1.899950102586493301e+02,6.967161820886957901e-01,9.388078657740185351e-01
1.200000000000000000e+01,2.821068897140311947e+03,2.399166033652016665e+02,2.027264212056936898e+01,6.492250736628197956e+03,1.893388895472698437e+02,7.126088395985152868e-01,9.332548445565229667e-01
1.225000000000000000e+01,2.881680498383802387e+03,2.449746302627021919e+02,2.023210759000212988e+01,6.500835720810850034e+03,1.886827688358903856e+02,7.285067115715765373e-01,9.276065555027211973e-01
1.250000000000000000e+01,2.943555083740853661e+03,2.500196385458737041e+02,2.018003313268608068e+01,6.509555684511430627e+03,1.880266481245109276e+02,7.444082189472771560e-01,9.218648252016020672e-01
1.275000000000000000e+01,3.006689164170693402e+03,2.550498129295984029e+02,2.012069753489879531e+01,6.518407126760826031e+03,1.873705274131314411e+02,7.603053489922952934e-01,9.160315382391202021e-01
1.300000000000000000e+01,3.071078793727730954e+03,2.600637860480971995e+02,2.005589247399521113e+01,6.527386456898358119e+03,1.867144067017519546e+02,7.761933146706221365e-01,9.101086604584961437e-01
1.325000000000000000e+01,3.136719819049264515e+03,2.650607450774895142e+02,1.998783611756935841e+01,6.536489960025533946e+03,1.860582859903724966e+02,7.920686735992233940e-01,9.040982172718166066e-01
1.350000000000000000e+01,3.203607888123287921e+03,2.700399132927688584e+02,1.991667286111738733e+01,6.545713831755652791e+03,1.854021652789930386e+02,8.079296596794157681e-01,8.980022686215382022e-01
1.375000000000000000e+01,3.271738459310525741e+03,2.750005510419505299e+02,1.984255099672661160e+01,6.555054217827742832e+03,1.847460445676135521e+02,8.237746077493408592e-01,8.918229068008867166e-01
1.400000000000000000e+01,3.341106810853248135e+03,2.799418573263507142e+02,1.976522513760078326e+01,6.564507218444236059e+03,1.840899238562340656e+02,8.396019566484219654e-01,8.855622542549249632e-01
1.425000000000000000e+01,3.411707866063916299e+03,2.848615525519205107e+02,1.967878090227915422e+01,6.574068892624792170e+03,1.834338031448546076e+02,8.554099486220244630e-01,8.792224613445510650e-01
1.450000000000000000e+01,3.483536050983719633e+03,2.897583609567401481e+02,1.958723361927843953e+01,6.583735262600892383e+03,1.827776824334751495e+02,8.711922918747639910e-01,8.728057208273237721e-01
1.475000000000000000e+01,3.556585475429973940e+03,2.946312719299316427e+02,1.949164389276607778e+01,6.593502292769098858e+03,1.821215617220956631e+02,8.869457372297290254e-01,8.663142788553410689e-01
1.500000000000000000e+01,3.630850082997830668e+03,2.994796460168520298e+02,1.939349634768149144e+01,6.603365874178890408e+03,1.814654410107161766e+02,9.026678291802441301e-01,8.597504165211147242e-01
1.525000000000000000e+01,3.706323664038308380e+03,3.043028964167456252e+02,1.929300159957432470e+01,6.613321853857165479e+03,1.808093202993367186e+02,9.183572354843997365e-01,8.531164346998347803e-01
1.550000000000000000e+01,3.782999868802728543e+03,3.091004895650158915e+02,1.919037259308112198e+01,6.623366058874014925e+03,1.801531995879572605e+02,9.340127744272280763e-01,8.464146514808635891e-01
1.575000000000000000e+01,3.860872220907849169e+03,3.138721988836776404e+02,1.908683727464696034e+01,6.633494301165845172e+03,1.794970788765777741e+02,9.496334171659320811e-01,8.396473996192973521e-01
